Year,State,Crop,Min Price,Max Price
01-08-2023,Gujarat,Soanf,2625.25,5153.88
01-08-2023,Gujarat,Ghee,3478.21,7121.8
01-08-2023,Gujarat,Peach,7401.36,8955.56
01-08-2023,Gujarat,Indian Beans (Seam),7782.6,8952.8
01-08-2023,Gujarat,Raddish,5097.8,8243.55
01-08-2023,Haryana,Amphophalus,3224.1,3802.84
01-08-2023,Haryana,Ginger(Dry),2430.65,9487.5
01-08-2023,Haryana,Season Leaves,3852.88,5662.15
01-08-2023,Haryana,Black Gram (Urd Beans)(Whole),4731.15,5418.39
01-08-2023,Haryana,Grapes,4873.17,8741.66
01-08-2023,Himachal Pradesh,Firewood,4454.11,5065.93
01-08-2023,Himachal Pradesh,Mahua Seed(Hippe seed),3597.06,8590.61
01-08-2023,Himachal Pradesh,Coconut,4483.87,7808.27
01-08-2023,Himachal Pradesh,Black Gram (Urd Beans)(Whole),3702.59,6911.07
01-08-2023,Himachal Pradesh,Sweet Pumpkin,7000.4,9161.92
01-08-2023,Kerala,Ragi (Finger Millet),3457.73,8124.66
01-08-2023,Kerala,Coriander(Leaves),3782.66,5138.63
01-08-2023,Kerala,Cluster beans,2557.84,3232.16
01-08-2023,Kerala,Lentil (Masur)(Whole),6050.76,9975.93
01-08-2023,Kerala,Taramira,6746.29,7713.48
01-08-2023,Nagaland,Leafy Vegetable,2718.14,6831.49
01-08-2023,Nagaland,Cow,7177.6,8519.31
01-08-2023,Nagaland,Jack Fruit,7778.67,8481.53
01-08-2023,Nagaland,Hybrid Cumbu,4370.36,7342.5
01-08-2023,Nagaland,Cinamon(Dalchini),2767.9,5301.31
01-08-2023,Odisha,Hybrid Cumbu,3735.39,4308.79
01-08-2023,Odisha,Potato,7702.12,8845.4
01-08-2023,Odisha,Wheat Atta,7229.95,7811.66
01-08-2023,Odisha,Capsicum,6703.8,7946.33
01-08-2023,Odisha,Broomstick(Flower Broom),6703.17,9711.57
01-08-2023,Punjab,Jowar(Sorghum),6822.95,8938.79
01-08-2023,Punjab,Cinamon(Dalchini),7034.14,9775.79
01-08-2023,Punjab,Plum,4152.29,7118.03
01-08-2023,Punjab,Coconut Oil,4967.78,7067.99
01-08-2023,Punjab,Coconut,6836.55,7980.16
01-08-2023,Rajasthan,Little gourd (Kundru),2908.05,6186.91
01-08-2023,Rajasthan,Paddy(Dhan)(Common),2752.64,4229.81
01-08-2023,Rajasthan,Sheep,6897.7,8399.6
01-08-2023,Rajasthan,Snakeguard,3100.1,6114.12
01-08-2023,Rajasthan,Cluster beans,7348.02,8371.94
01-08-2023,Tripura,Lotus,3132.13,4554.35
01-08-2023,Tripura,Cow,7405.39,8832.99
01-08-2023,Tripura,Thinai (Italian Millet),6345.18,8361.52
01-08-2023,Tripura,Mataki,6592.48,8893.41
01-08-2023,Tripura,Cabbage,5525.88,9165.83
01-08-2023,Uttar Pradesh,Ghee,4020.55,5626.71
01-08-2023,Uttar Pradesh,Guava,6224.96,8128.17
01-08-2023,Uttar Pradesh,Sunflower,6781.83,9373.44
01-08-2023,Uttar Pradesh,Field Pea,3187.59,4977.39
01-08-2023,Uttar Pradesh,Wood,3818.31,4964.45
01-08-2023,Uttrakhand,Turmeric,2484.4,9412.54
01-08-2023,Uttrakhand,Bitter gourd,2702.12,7116.44
01-08-2023,Uttrakhand,Mint(Pudina),6731.03,8652.46
01-08-2023,Uttrakhand,Bengal Gram(Gram)(Whole),2508.21,6639.05
01-08-2023,Uttrakhand,Lilly,5082.89,5706.88
01-08-2023,Andhra Pradesh,Barley (Jau),6130.25,7976.09
01-08-2023,Andhra Pradesh,Chilly Capsicum,3817.82,8417.62
01-08-2023,Andhra Pradesh,Lentil (Masur)(Whole),5363.11,8124.7
01-08-2023,Andhra Pradesh,Sponge gourd,4832.15,8710.67
01-08-2023,Andhra Pradesh,Marigold(loose),6738.52,7242.41
01-08-2023,Bihar,Turnip,2585.8,4942.45
01-08-2023,Bihar,Knool Khol,6648.51,9080.97
01-08-2023,Bihar,Pumpkin,7347.42,9594.9
01-08-2023,Bihar,Spinach,4825.71,7564.83
01-08-2023,Bihar,Drumstick,2413.02,6295.08
01-08-2023,Chandigarh,Rubber,2396.66,4291.65
01-08-2023,Chandigarh,Rajgir,2316.89,4943.98
01-08-2023,Chandigarh,Ox,2317.28,4877.64
01-08-2023,Chandigarh,Pegeon Pea (Arhar Fali),5477.6,9243
01-08-2023,Chandigarh,Coconut,3954.15,6789.96
01-08-2023,Chattisgarh,Resinwood,7319.99,7831.92
01-08-2023,Chattisgarh,White Peas,3762.01,7590.57
01-08-2023,Chattisgarh,Rajgir,5781.47,6783.44
01-08-2023,Chattisgarh,Chili Red,7718.97,9108.05
01-08-2023,Chattisgarh,Green Chilli,5980.44,8687.72
01-08-2023,Jammu and Kashmir,Maize,7698.56,9980.58
01-08-2023,Jammu and Kashmir,Groundnut,3195.37,7427.87
01-08-2023,Jammu and Kashmir,Anthorium,5739.5,7968.69
01-08-2023,Jammu and Kashmir,Wood,2693.1,8954.09
01-08-2023,Jammu and Kashmir,Marigold(Calcutta),5115.59,8443.98
01-08-2023,Karnataka,Mataki,3550.22,7549.35
01-08-2023,Karnataka,Bengal Gram(Gram)(Whole),6379.39,8448.25
01-08-2023,Karnataka,Mint(Pudina),5871.15,8872.94
01-08-2023,Karnataka,Yam,7333.4,8698.1
01-08-2023,Karnataka,Guava,5751.48,8720.14
01-08-2023,Madhya Pradesh,Green Peas,2896.76,8233.48
01-08-2023,Madhya Pradesh,Hybrid Cumbu,2020.53,6376.87
01-08-2023,Madhya Pradesh,Orchid,7118.15,9089.61
01-08-2023,Madhya Pradesh,Coffee,2363.21,2876.29
01-08-2023,Madhya Pradesh,Onion,2700.1,8547.01
01-08-2023,Maharashtra,Amphophalus,5985.57,8440.9
01-08-2023,Maharashtra,Drumstick,7644.48,9617.19
01-08-2023,Maharashtra,Egg,5132.26,8695.49
01-08-2023,Maharashtra,Orchid,6420.4,7423.03
01-08-2023,Maharashtra,Tinda,2525.52,6457.87
01-08-2023,Meghalaya,Black Gram (Urd Beans)(Whole),2436.11,3782.02
01-08-2023,Meghalaya,Capsicum,3598.82,6107.82
01-08-2023,Meghalaya,Lak(Teora),7250.98,9380.99
01-08-2023,Meghalaya,Mahua Seed(Hippe seed),7874.57,9087.21
01-08-2023,Meghalaya,Suvarna Gadde,2543.84,9256.43
01-08-2023,NCT of Delhi,Masur Dal,4802.69,5591.99
01-08-2023,NCT of Delhi,Carnation,5093.3,5703.21
01-08-2023,NCT of Delhi,Paddy(Dhan)(Common),3185.26,8463.99
01-08-2023,NCT of Delhi,Pomegranate,2252.07,3380.35
01-08-2023,NCT of Delhi,Safflower,6836.52,9597.84
01-08-2023,Pondicherry,Banana,4913.79,8707.77
01-08-2023,Pondicherry,Bull,5226.81,9833.07
01-08-2023,Pondicherry,Linseed,5204.87,7865.33
01-08-2023,Pondicherry,Anthorium,5451.92,8988.91
01-08-2023,Pondicherry,Tube Rose(Double),3739.8,8406.38
01-08-2023,Tamil Nadu,Corriander seed,6505.39,9147.65
01-08-2023,Tamil Nadu,Suva (Dill Seed),7610.22,9964.41
01-08-2023,Tamil Nadu,Raddish,7444.85,8132.94
01-08-2023,Tamil Nadu,Bhindi(Ladies Finger),3774.18,9628.4
01-08-2023,Tamil Nadu,Pepper ungarbled,4105.19,7425.75
01-08-2023,Telangana,Rajgir,6011.03,9634.43
01-08-2023,Telangana,Cocoa,7766.62,9618.78
01-08-2023,Telangana,Spinach,6594.75,8548.54
01-08-2023,Telangana,Suvarna Gadde,2787.91,9531.68
01-08-2023,Telangana,Egg,3144.12,7216.57
01-08-2023,West Bengal,Amphophalus,6759.74,7717.96
01-08-2023,West Bengal,She Buffalo,2736.72,7085.56
01-08-2023,West Bengal,Peas cod,4390.58,5110.52
01-08-2023,West Bengal,Pointed gourd (Parval),5634.15,9651.73
01-08-2023,West Bengal,He Buffalo,5972.34,7221.8
01-08-2023,Goa,Grapes,6777.78,7305.08
01-08-2023,Goa,Suvarna Gadde,4602.93,6750.43
01-08-2023,Goa,Sheep,5167.21,7380.51
01-08-2023,Goa,Bengal Gram Dal (Chana Dal),6174.41,9832.56
01-08-2023,Goa,Mustard,6866.33,7795.47
01-08-2023,Andaman and Nicobar,Mango (Raw-Ripe),2777.62,6948.63
01-08-2023,Andaman and Nicobar,Pomegranate,2489.12,8645.07
01-08-2023,Andaman and Nicobar,Raibel,4821.56,7932.88
01-08-2023,Andaman and Nicobar,Snakeguard,7259.71,9407.57
01-08-2023,Andaman and Nicobar,Sugar,2367.7,6729.87
16-08-2023,Gujarat,Bottle gourd,7918.14,9153.91
16-08-2023,Gujarat,Carrot,4499.95,5539.52
16-08-2023,Gujarat,Mousambi(Sweet Lime),7183.97,9912.37
16-08-2023,Gujarat,Water Melon,2459.22,4879.51
16-08-2023,Gujarat,Mustard Oil,7282.47,8219.77
16-08-2023,Haryana,Carrot,6326.71,8750.53
16-08-2023,Haryana,Mustard Oil,6482.66,7473.44
16-08-2023,Haryana,Tube Rose(Single),5384.88,6439.59
16-08-2023,Haryana,Cluster beans,5315.7,9461.4
16-08-2023,Haryana,Green Fodder,7103.94,8240.88
16-08-2023,Himachal Pradesh,Jasmine,3101.03,5485.59
16-08-2023,Himachal Pradesh,Surat Beans (Papadi),3599.59,5563.53
16-08-2023,Himachal Pradesh,Black Gram (Urd Beans)(Whole),4779.38,7933.3
16-08-2023,Himachal Pradesh,Linseed,3171.62,8210.19
16-08-2023,Himachal Pradesh,Soanf,4861.73,6456.21
16-08-2023,Kerala,Leafy Vegetable,5145.02,9258.19
16-08-2023,Kerala,Chow Chow,6738.76,9786.85
16-08-2023,Kerala,Raddish,5075.14,9088.74
16-08-2023,Kerala,Masur Dal,6869.86,8397.44
16-08-2023,Kerala,Amaranthus,3278.68,7609.29
16-08-2023,Nagaland,Mahua Seed(Hippe seed),4266.61,9644.39
16-08-2023,Nagaland,Duck,5085.93,6785.58
16-08-2023,Nagaland,Maize,6181.82,6765.7
16-08-2023,Nagaland,Jamun(Narale Hannu),5914.46,7143.94
16-08-2023,Nagaland,Sabu Dan,3636.79,9422.55
16-08-2023,Odisha,Coffee,2676.12,6432.87
16-08-2023,Odisha,Leafy Vegetable,4882.84,8238
16-08-2023,Odisha,Sweet Potato,6126.6,9112.12
16-08-2023,Odisha,Spinach,4406.05,5024.89
16-08-2023,Odisha,Colacasia,3396.16,5229.34
16-08-2023,Punjab,Rajgir,5948,7311.37
16-08-2023,Punjab,Spinach,6055.69,8766.54
16-08-2023,Punjab,Groundnut (Split),2249.46,9790.93
16-08-2023,Punjab,Guar Seed(Cluster Beans Seed),4382.61,8238.48
16-08-2023,Punjab,Tomato,7593.07,9790.37
16-08-2023,Rajasthan,Tobacco,2015.53,7196.29
16-08-2023,Rajasthan,Methi Seeds,3394.82,9259.44
16-08-2023,Rajasthan,Alasande Gram,5584.79,9415.77
16-08-2023,Rajasthan,Anthorium,3599.46,9439.05
16-08-2023,Rajasthan,Bitter gourd,4530.38,6794.35
16-08-2023,Tripura,Tapioca,5048.9,8360.58
16-08-2023,Tripura,Methi(Leaves),3096.88,4364.72
16-08-2023,Tripura,Same/Savi,4930.07,9947.16
16-08-2023,Tripura,Mango,7398.1,8915.68
16-08-2023,Tripura,Rajgir,3097.27,6541.21
16-08-2023,Uttar Pradesh,Cock,4526.89,5419.61
