Year,State,Crop,Min Price,Max Price
27-07-2023,Gujarat,Bhindi(Ladies Finger),4100,4500
27-07-2023,Gujarat,Brinjal,2200,3000
27-07-2023,Gujarat,Cabbage,2350,3000
27-07-2023,Gujarat,Cauliflower,7000,7500
27-07-2023,Gujarat,Coriander(Leaves),8400,9000
27-07-2023,Gujarat,Ginger(Green),11000,14000
27-07-2023,Gujarat,Green Chilli,7200,8000
27-07-2023,Gujarat,Guar,6800,7500
27-07-2023,Gujarat,Lemon,1850,2550
27-07-2023,Gujarat,Tomato,9800,10000
27-07-2023,Haryana,Apple,10000,20000
27-07-2023,Himachal Pradesh,Apple,20000,21000
27-07-2023,Himachal Pradesh,Apple,8000,13000
27-07-2023,Himachal Pradesh,Banana,3500,4000
27-07-2023,Himachal Pradesh,Beetroot,3500,4000
27-07-2023,Himachal Pradesh,Bhindi(Ladies Finger),3800,4000
27-07-2023,Himachal Pradesh,Bitter gourd,3500,4000
27-07-2023,Himachal Pradesh,Bottle gourd,2800,3800
27-07-2023,Himachal Pradesh,Brinjal,5000,5200
27-07-2023,Himachal Pradesh,Cabbage,2200,2500
27-07-2023,Himachal Pradesh,Capsicum,11000,12000
27-07-2023,Himachal Pradesh,Carrot,3000,3500
27-07-2023,Himachal Pradesh,Cauliflower,4500,7000
27-07-2023,Himachal Pradesh,Colacasia,4000,4500
27-07-2023,Himachal Pradesh,Coriander(Leaves),14000,15000
27-07-2023,Himachal Pradesh,Cucumbar(Kheera),3000,4000
27-07-2023,Himachal Pradesh,French Beans (Frasbean),6000,7000
27-07-2023,Himachal Pradesh,Garlic,10000,13000
27-07-2023,Himachal Pradesh,Ginger(Green),19000,20000
27-07-2023,Himachal Pradesh,Green Chilli,5500,6000
27-07-2023,Himachal Pradesh,Guava,8000,11500
27-07-2023,Himachal Pradesh,Jack Fruit,3500,4000
27-07-2023,Himachal Pradesh,Lemon,4500,4800
27-07-2023,Himachal Pradesh,Mango,3000,4500
27-07-2023,Himachal Pradesh,Mango,5000,6000
27-07-2023,Himachal Pradesh,Mashrooms,3000,3500
27-07-2023,Himachal Pradesh,Mousambi(Sweet Lime),4500,5000
27-07-2023,Himachal Pradesh,Onion,2000,2200
27-07-2023,Himachal Pradesh,Papaya,4200,4500
27-07-2023,Himachal Pradesh,Pear(Marasebu),9000,10000
27-07-2023,Himachal Pradesh,Peas Wet,7000,8000
27-07-2023,Himachal Pradesh,Pineapple,4500,5000
27-07-2023,Himachal Pradesh,Plum,5000,6000
27-07-2023,Himachal Pradesh,Potato,1700,2100
27-07-2023,Himachal Pradesh,Pumpkin,1500,2500
27-07-2023,Himachal Pradesh,Raddish,2200,2500
27-07-2023,Himachal Pradesh,Spinach,4500,5000
27-07-2023,Himachal Pradesh,Sponge gourd,3000,3500
27-07-2023,Himachal Pradesh,Tinda,4500,5000
27-07-2023,Kerala,Amaranthus,4000,4500
27-07-2023,Kerala,Amphophalus,5000,5500
27-07-2023,Kerala,Ashgourd,3000,3500
27-07-2023,Kerala,Banana,5000,5500
27-07-2023,Kerala,Banana - Green,3000,3500
27-07-2023,Kerala,Beetroot,4000,4500
27-07-2023,Kerala,Bhindi(Ladies Finger),4000,4500
27-07-2023,Kerala,Bitter gourd,5000,5500
27-07-2023,Kerala,Bottle gourd,2000,2500
27-07-2023,Kerala,Brinjal,3000,3500
27-07-2023,Kerala,Cabbage,3000,3500
27-07-2023,Kerala,Capsicum,9000,9500
27-07-2023,Kerala,Carrot,6000,6500
27-07-2023,Kerala,Cauliflower,4000,4500
27-07-2023,Kerala,Colacasia,6000,6400
27-07-2023,Kerala,Cowpea(Veg),4000,4500
